Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
Agoranov,"Agoranov est un incubateur public d'entreprises innovantes fondé par les Universités Pierre et Marie Curie et Dauphine, l’Ecole Normale Supérieure, ParisTech et l’INRIA. ",#coaching,#hebergement,#accompagnement,48.846191,2.32823,96 boulevard Raspail,75006,Paris,2000,www.agoranov.com,,,,http://www.linkedin.com/company/87654,,Incubateur
Alambik,"Alambik est un incubateur qui regroupe une communauté de startups et un ""garage"" d'entrepreneurs de la génération Y.",#startups,#nonprofit,#communaute,48.875641,2.34918,54 rue de Paradis,75010,Paris,,www.alambik.eu,CuveeStartups,https://www.facebook.com/pages/Alambik/121092321281815,,,,Incubateur
Blue Factory,Blue Factory est l'incubateur de startups d'ESCP Europe dans lequel une trentaine d’entrepreneurs travaillent tous les jours pour créer demain.,#ecole,#startups,,48.863949,2.38142,81 avenue de la République,75011,Paris,2003,www.blue-factory.eu,BlueFactory_,https://www.facebook.com/BlueFactoryESCP,,,,Incubateur
Creatis,"Creatis, résidence d’entrepreneurs culturels, hébergée à la Gaîté Lyrique est une plateforme consacrée à l’entrepreneuriat et à l’innovation dans les champs culturels.",#culture,#accelerateur,#accompagnement,48.866852,2.35385,3 rue Papin,75003,Paris,,www.residencecreatis.fr,,,,,,Incubateur
Creative Valley,"En partenariat avec Epitech, Creative Valley est un incubateur de startups et une résidence pour les entreprises établies et spécialisées dans les technologies de l'information et de la communication.",#hebergement,#startups,#tic,48.80925,2.36479,11 rue Carnot,94270,Le Kremlin Bicêtre,2011,www.creative-valley.fr,CreativeValley_,https://www.facebook.com/incubateur.creative.valley,,,,Incubateur
Dojoboost,Dojoboost est un programme d'incubation et/ou d'acccélération pour startups proposé par Dojocrea.,#accelerateur,,,48.868729,2.35726,41 boulevard Saint Martin,75010,Paris,,www.dojoboost.com,,,,,,Incubateur
Dojocrea,Dojocrea est incubateur privé qui propose plusieurs lieux de coworking et d'incubation/accélération pour les startups.,#startups,#hebergement,#accelerateur,48.866661,2.36337,24 rue Béranger,75003,Paris,,www.dojocrea.fr,Dojocrea,https://www.facebook.com/DOJOCREA,,http://www.linkedin.com/company/dojocrea,,Incubateur
Efrei Entrepreneurs,"Efrei entrepreneurs propose, en parallèle de l’hébergement et de l’accompagnement, des sessions de formations animées par des professionnels de l’entreprise.",#IES,#hebergement,#accompagnement,48.790393,2.363734,33 impasse Victor Hugo,94800,Villejuif,,incubateur.efrei.fr,,,,,,Incubateur
ESSEC Ventures,"Essec Ventures permet aux étudiants qui ont un projet de création d’entreprises d'accèder à du coaching, à des bureaux et à un soutien logistique et administratif.",#coaching,#hebergement,#accompagnement,49.033215,2.078779,Avenue Bernard Hirsch,95000,Cergy,,www.essec.fr/lessec/essec-ventures/,essecventures,,,,,Incubateur
Explolab Factory,ExploLab Factory est un incubateur privé qui propose des processus de décision (et d’allocation de fonds) très rapides.,#accompagnement,#financement,,48.83639,2.31782,12 place de Séoul,75014,Paris,,explolab.com/factory/,,,,,,Incubateur
Fullbooster,Fullbooster est un incubateur privé de startups numériques qui vise à détecter les idées et les projets les plus pertinents afin d'accélérer leur développement.,#hebergement,#accompagnement,,48.89848,2.27922,157 rue Anatole France,92300,Levallois Perret,,www.full-booster.com,,,,,,Incubateur
IncubAlliance,"IncubAlliance soutient, accueille et accompagne les projets de création d’entreprises innovantes associées à la recherche publique : du laboratoire au marché.",#hebergement,#coaching,#formation,48.696369,2.1957,86 rue de Paris,91400,Orsay,,www.incuballiance.fr,,,,,,Incubateur
Incubateur Centrale Paris,"L'incubateur de l’École Centrale Paris accueille et soutient des startups innovantes, à un stade très précoce, portées ou non par des centraliens.",#bureau,#coaching,,48.765942,2.285672,Grande Voie des Vignes,92290,Châtenay-Malabry,,www.centraleparis-incubateur.fr,IncubateurCentr,,,,,Incubateur
Incubateur Descartes,L’Incubateur Descartes est une structure d’aide à l’émergence et l’accompagnement de projets de création d’entreprises innovantes à forte valeur ajoutée technologique.,#technologie,#coaching,#hebergement,48.83738,2.59016,23 rue Alfred Nobel,77420,Champs-sur-Marne,,www.incubateur-descartes.com,InfoDescartes,https://www.facebook.com/incubateur.descartes.7,,,,Incubateur
Incubateur du Centquatre,"En partenariat avec Agoranov, l'incubateur du Centquatre est une structure de soutien à la création et au développement d’entreprises innovantes, au croisement des problématiques artistiques et technologiques.",#art,#technologie,,48.889969,2.37156,5 rue Curial,75019,Paris,,www.104.fr/les_espaces/equipements/l_incubateur.html,,,,,,Incubateur
Incubateur HEC,L’incubateur HEC accueille les startups de services innovants au cours de leur phase d'amorçage.,#IES,#accompagnement,#coaching,48.7668,2.1595,1 rue de la Libération,78350,Jouy-en-Josas,,www.hec.fr/incubateur-hec/,incubateurhec,https://www.facebook.com/incubateurHEC,,,,Incubateur
Incubateur Novancia,L'incubateur de Novancia est un centre d'entraînement à la création d'entreprises et un accélérateur de projets qui accueille et accompagne des porteurs de projet à fort potentiel de croissance.,#IES,#accelerateur,#hebergement,48.886211,2.28737,8 avenue de la porte de Champerret,75017,Paris,,www.novancia.fr/-Creez-votre-entreprise-avec-l-.html,,,,,,Incubateur
Labo de l'Edition,Un des lieux d'hébergement proposé par Paris Incubateurs qui accueille en particulier les entreprises innovantes du programme d'incubation lié aux mutations du secteur de l'édition.,#edition,#hebergement,#accompagnement,48.843559,2.35122,2 rue Saint Médard,75005,Paris,,www.parisincubateurs.com/sites_incubateur/get_site/29,,,,,,Incubateur
L'Accélérateur,"Créé et animé par des serial entrepreneurs aguerris en prenant modèle sur le célèbre Y Combinator, l’Accélérateur a pour mission d’aider les startups à décoller. ",#accelerateur,#coaching,#demoday,48.87135,2.33764,13 rue Marivaux,75002,Paris,2012,www.laccelerateur.fr,laccelerateur,https://www.facebook.com/pages/LAcc%C3%A9l%C3%A9rateur/225490190871801,,,,Incubateur
Le Camping,"Créé et animé par Silicon Sentier, Le Camping héberge des startups web et leur permet de prototyper leur projet, de se faire coacher par des mentors, et de fédérer des communautés d’utilisateurs pour valider leur produit.",#accelerateur,#coaching,#hebergement,48.869508,2.341908,28 place de la Bourse,75002,Paris,,www.lecamping.org,lecamping,https://www.facebook.com/pages/Le-Camping-Silicon-Sentier/128085203897792,https://plus.google.com/104324660391337746040/,,,Incubateur
NeuillyLab,"NeuillyLab est un espace de travail, d’échanges et d’animation économique dédié aux créateurs d’entreprises qui apporte des services de conseil et d’accompagnement aux porteurs de projets.",#hebergement,#accompagnement,,48.883652,2.2631,171 avenue Charles de Gaulle,92200,Neuilly-sur-Seine,,www.neuillylab.com,Neuillylab,https://www.facebook.com/pages/NeuillyLab/130920053601555,,,,Incubateur
Paris Incubateurs,"Piloté par Paris Région Lab, Paris Incubateurs anime des programmes d'incubation thématiques et propose des lieux d'hébergement à destination des créateurs d’entreprises innovantes.",#hebergement,#accompagnement,,48.871109,2.393599,24 rue de l'Est,75020,Paris,,www.parisincubateurs.com,Paris_Incub,,,,,Incubateur
Paris Innovation Belleville,Un des lieux d'hébergement proposé par Paris Incubateurs qui accueille en particulier les entreprises innovantes du programme d'incubation Creanova.,#hebergement,#accompagnement,#creanova,48.871109,2.393599,24 rue de l'Est,75020,Paris,,www.parisincubateurs.com/sites_incubateur/get_site/25,,,,,,Incubateur
Paris Innovation Bourse,Un des lieux d'hébergement proposé par Paris Incubateurs qui accueille en particulier les entreprises innovantes du programme d'incubation lié au secteur de la finance.,#hebergement,#accompagnement,#finance,48.869508,2.341908,28 place de la Bourse,75002,Paris,,www.parisincubateurs.com/sites_incubateur/get_site/28,,,,,,Incubateur
