Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
123 Venture,123Venture est une société de gestion indépendante avec plus de 800M€ investis dans le capital-investissement et l'immobilier.,#venturecapitalist,,,48.866089,2.28628,42 avenue Raymond Poincaré,75016,Paris,2000,www.123venture.com,123Venture,,,http://www.linkedin.com/company/79342,http://fr.viadeo.com/fr/company/123venture,Investisseur
360° Capital Partners,"360° Capital Partners regroupe des investisseurs dynamiques et agiles, profondément passionnés par la création de sociétés durables et offrant aux entrepreneurs un soutien de tous les instants.",#venturecapitalist,,,48.87104,2.34584,16 boulevard Poissonnière,75009,Paris,,www.360capitalpartners.com,360CP,,,http://www.linkedin.com/company/360-capital-partners,,Investisseur
5M Ventures,"Fonds de ""Media for Equity"", 5M Ventures propose à des sociétés B2C en forte croissance de l'espace publicitaire dans des médias de premier plan en échange d'une ouverture de leur capital.",#B2C,#mediaforequity,,48.869508,2.341908,28 place de la Bourse,75002,Paris,,www.5M-ventures.com,,,,,,Investisseur
Alven Capital,"Alven Capital est un fonds de venture capital indépendant qui investit principalement dans les secteurs d'internet, des médias et de l’IT.",#venturecapitalist,#ICT,,48.863708,2.33481,1 place André Malraux,75001,Paris,2000,www.alvencapital.com,alvencap,,,http://www.linkedin.com/company/2177951,,Investisseur
Banexi Ventures Partners,Banexi Ventures Partners est une société de gestion indépendante qui investit à partir de fonds de venture capital dans des entreprises hightech à fort potentiel de croissance.,#venturecapitalist,#hightech,,48.872349,2.33599,13 rue Taitbout,75009,Paris,,www.banexiventures.com,,,,http://www.linkedin.com/company/137667,,Investisseur
CapHorn Invest,Caphorn Invest est un fonds d'investissement et d'accompagnement qui a pour vocation d’accélérer le  développement commercial de jeunes PME à fort potentiel.,#venturecapitalist,,,48.868301,2.33333,32 avenue de l'Opéra,75002,Paris,2009,www.caphorninvest.fr,CapHornInvest,,,http://www.linkedin.com/company/caphorn-invest,,Investisseur
Cleantech Business Angels,Cleantech Business Angels est une association dont la mission est de faciliter l’investissement dans les startups cleantech et greentech.,#businessangel,#cleantech,#greentech,48.887192,2.25095,8 terrasse Bellini,92800,Puteaux,2008,www.cleantechbusinessangels.com,CleantechBA,,,http://www.linkedin.com/company/285538,,Investisseur
Elaia Partners,Elaia Partners est une société indépendante de capital investissement focalisée sur l'économie numérique.,#venturecapitalist,#numerique,,48.8717,2.30638,54 rue de Ponthieu,75008,Paris,2002,www.elaia.com,Elaia_Partners,,,http://www.linkedin.com/company/114482,,Investisseur
IdInvest Partners,Idinvest Partners est un des leaders européens du financement et de l'investissement dans des entreprises de taille moyenne non cotées.,#venturecapitalist,#growthequity,,48.87257,2.29889,117 avenue des Champs Elysées,75008,Paris,1997,www.idinvest.com,,,,http://www.linkedin.com/company/1223140,,Investisseur
Investessor,Les Angels d'Investessor accompagnent et financent des startups innovantes de tous secteurs d’activité à Paris et en Ile-de-France.,#businessangel,,,48.841808,2.23779,146 rue du Château,92100,Boulogne Billancourt,,www.investessor.fr,investessor,,https://plus.google.com/+investessor,http://www.linkedin.com/company/682652,,Investisseur
