Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
Capital Games,"Capital Games est un cluster qui fédère l’ensemble des professionnels franciliens du Jeu vidéo, tout métier, toute plateforme et tout segment confondus.",#cluster,#jeuvideo,,48.851768,2.37415,74 rue du Faubourg Saint-Antoine,75012,Paris,2003,www.capital-games.org,capital_games,https://www.facebook.com/pages/Capital-Games/467194419959887,https://plus.google.com/104493716062521584728,,,Communauté
Eseniors,Eseniors est une association dont l'activité consiste à initier les seniors et les handicapés aux TICs avec pour objectif de réduire la fracture numérique entre générations et de désenclaver les seniors de leur situation d’isolement.,#seniors,#handicap,#intergenerationnel,48.855919,2.38606,19 cité de Phalsbourg,75011,Paris,2005,www.e-seniors.asso.fr,,https://www.facebook.com/pages/E-seniors/108732705910346,,,,Communauté
ESSEC eclub,ESSEC eclub est le club d'entrepreneuriat de l'ESSEC.,#club,#entreprenariat,,49.033215,2.078779,Avenue Bernard Hirsch,95021,Cergy-Pontoise,2013,www.essececlub.com,essececlub,http://www.facebook.com/essececlub,,,,Communauté
Ficam,"La Fédération des Industries du Cinéma, de l’Audiovisuel et du Multimédia est une organisation syndicale patronale qui regroupe plus de 170 entreprises dont l’activité couvre l’ensemble des métiers et du savoir-faire technique de l’image et du son.",#syndicat,#image&son,,48.866707,2.292297,11 rue de l'Amiral Hamelin,75016,Paris,,www.ficam.fr,,,,http://www.linkedin.com/company/1296443,,Communauté
Fing,"La Fondation Internet Nouvelle Génération aide les entreprises, les institutions et les territoires à anticiper les mutations liées aux technologies et à leurs usages.",#thinktank,#prospective,,48.84967,2.38001,8 passage Brûlon ,75012,Paris,2000,www.fing.org,la_fing,https://www.facebook.com/fing.org,,http://www.linkedin.com/company/51624,,Communauté
France Digitale,"France Digitale est une association qui réunit plus de 100 professionnels du numérique (entrepreneurs, investisseurs et startups) et dont l'objectif est de promouvoir et de soutenir l’économie numérique en France.",#economienumerique,,,48.8717,2.30638,54 rue de Ponthieu,75008,Paris,2012,www.francedigitale.org,Frdigitale,https://www.facebook.com/FranceDigitale,https://plus.google.com/111534238157443352030,,,Communauté
Frenchweb,"FrenchWeb a pour mission de présenter les différentes initiatives des acteurs français du net et regroupe une communauté de plus de 20 000 professionnels (entrepreneurs, experts, investisseurs).",#magazineweb,#promotion,,48.863831,2.36086,55 rue de Bretagne,75003,Paris,2010,www.frenchweb.fr,frenchweb,https://www.facebook.com/frenchweb.fr,https://plus.google.com/101649764048667722872,,,Communauté
GESTE,"Le Groupement des Editeurs de Services en Ligne rassemble les professionnels éditeurs en ligne, tous horizons confondus (médias, vidéo, musique, jeux et petites annonces), et oeuvre en faveur d’un écosystème pérenne et équitable",#editeursenligne,#groupement,,48.869381,2.33879,76 rue de Richelieu,75002,Paris,1987,www.geste.fr,,,,,,Communauté
Girlz In Web,"Girlz In Web est un collectif professionnel dont l'objectif est de valoriser les femmes qui travaillent et agissent dans les métiers du web, du numérique et des nouvelles technos.",#collectif,#femmes,#evenements,48.882408,2.34836,9 rue du Delta,75009,Paris,2009,www.girlzinweb.com,girlzinweb,https://www.facebook.com/GirlzInWeb,,,,Communauté
Grand Paris Pôle Média,Grand Paris Pôle Média est un cluster qui fédère les acteurs de la filière Image pour contribuer au développement du secteur sur le territoire du Nord Parisien.,#cluster,#image,,48.903931,2.35896,50 avenue du Président Wilson,93214,Saint-Denis,2003,www.lepole.org,PoleMedia,https://www.facebook.com/PoleMediaGrandParis,https://plus.google.com/104003997581942245023,http://www.linkedin.com/company/2635602,,Communauté
Knowtex,"Knowtex est une communauté qui explore les transformations du XXIe siècle provoquées par la recherche scientifique, le design industriel et l’innovation technologique.",#culturescientifique,#innovation,,48.86363,2.436492,104 avenue de la Résistance,93100,Montreuil,2010,www.knowtex.com,Knowtex,https://www.facebook.com/knowtex,https://plus.google.com/114157731755244061915,http://www.linkedin.com/company/2891676,,Communauté
Mozilla,"Mozilla est une organisation à but non lucratif qui se consacre à la promotion de l'ouverture, de l'innovation et des possiblités que peut offrir le web. ",#opensource,#navigateur,#internetlibre,48.871792,2.34127,16 boulevard Montmartre,75009,Paris,1998,www.mozfr.org,mozilla_fr,https://www.facebook.com/Firefox,,,,Communauté
Open Food Facts,"Open Food Facts est une communauté qui construit une base de données collaborative, libre et ouverte sur les produits alimentaires.",#opendata,#alimentation,,48.8079,2.46498,21 rue des Iles,94100,Saint-Maur des Fossés,2012,www.openfoodfacts.org,OpenFoodFactsFr,https://www.facebook.com/OpenFoodFacts.fr,,,,Communauté
Ouishare,OuiShare est une communauté ouverte internationale composée de passionnés qui oeuvrent pour le développement de l’économie collaborative. ,#economiecollaborative,#international,,48.879761,2.37198,29 rue de Meaux,75019,Paris,2012,www.ouishare.net,OuiShare,https://www.facebook.com/OuiShare,,http://www.linkedin.com/company/2670616,,Communauté
Renaissance Numérique,Renaissance Numérique est un think-tank qui oeuvre en faveur du développement d'internet en France en focalisant ses réflexions et ses actions sur la réduction des fractures numériques.,#thinktank,#fracturenumerique,,48.887118,2.299198,13 rue Eugène Flachat,75017,Paris,2005,www.renaissancenumerique.org,Rnumerique,https://www.facebook.com/renaissancenumerique,https://plus.google.com/110672692941004322746,,,Communauté
Silicon Sentier,Silicon Sentier est une association d’entreprises destinée à promouvoir les startups et mutualiser des ressources pour diffuser largement la culture du numérique et favoriser l’émergence de projets individuels ou collectifs en Ile-de-France.,#association,#startups,,48.870529,2.342367,12 passage Montmartre,75002,Paris,2000,www.siliconsentier.org,SiliconSentier,https://www.facebook.com/siliconsentier,,http://www.linkedin.com/company/123109,,Communauté
SNJV,Le Syndicat National du Jeu Vidéo défend les intérêts des professionnels du jeu vidéo et intervient dans tous les domaines permettant de préserver ou développer la compétitivité des entreprises de production de jeu vidéo implantées en France.,#syndicat,#jeuvideo,,48.85334,2.3704,2 rue de la Roquette,75011,Paris,2008,www.snjv.org,Julv_SNJV,https://www.facebook.com/dgsyndicatnationaldujeuvideo,,,,Communauté
Start In Paris,Start In Paris est un évènement mensuel permettant à 5 startups de présenter leur service en 5mn à la communauté tech parisienne.,#evenements,#startups,,48.870899,2.3429,161 rue Montmartre,75009,Paris,2010,www.startinparis.com,StartInParis,https://www.facebook.com/StartinParis,,,,Communauté
Syntec Numérique,Syntec Numérique est l'un des syndicats professionnels rattaché au Syntec qui représente les métiers et les industries du numérique en France.,#syndicat,#numerique,,48.851219,2.26986,3 rue Léon Bonnat,75016,Paris,1970,www.syntec-numerique.fr,syntecnumerique,https://www.facebook.com/pages/Syntec-informatique/208505175827301,,http://www.linkedin.com/company/2970743,,Communauté
UnionWeb,"UnionWeb fédère les acteurs, associations et entrepreneurs du Web français. Son objectif est de développer un réseau d'entraide entre les métiers du web. Elle a pour vocation de représenter la profession auprès de l'Etat.",#federation,#entraide,#metiersweb,48.895222,2.32246,24 rue des Epinettes,75017,Paris,2013,www.unionweb.fr,Union_Web,https://www.facebook.com/UnionWeb,https://plus.google.com/117641795723809855982,http://www.linkedin.com/company/unionweb,,Communauté
Villes Internet,"L’association Villes Internet a pour objet de coordonner le développement et l’animation d’un réseau des acteurs de l’Internet citoyen, et tout particulièrement des élus et agents des collectivités qui animent le territoire public.",#internetpublic,#internetcitoyen,#collectivites,48.887901,2.26128,9 rue Soyer,92200,Neuilly sur Seine,1999,www.villes-internet.net,Villes_Internet,https://www.facebook.com/villes.internet,,http://www.linkedin.com/company/3091720,,Communauté
