Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
42,"42 est une école gratuite, financée par la fondation Free, qui développe une méthodologie d'apprentissage par projet pour former de jeunes talents aux métiers informatiques et à la programmation.",#developpeur,#programmeur,#heartofcode,48.896229,2.3186,96 boulevard Bessières,75017,Paris,2013,www.42.fr,42born2code,https://www.facebook.com/ecole42,https://plus.google.com/114371889748884562535,,,École
3W Academy,3W Academy propose une formation courte et intensive pour devenir développeur intégrateur web.,#integrateur,#web,#developpeur,48.85313,2.29113,17 rue Saint Saëns,75015,Paris,2012,www.3wa.fr,3WAcademy,https://www.facebook.com/3WAcademy,https://plus.google.com/101132748386194129526,http://www.linkedin.com/company/3146641,,École
AFCI Newsoft,"AFCI Newsoft est un centre de formation qui propose dans son catalogue de nombreuses formations diplômantes autour d'internet, du web et du multimédia.",#developpeur,#designer,#web,48.857582,2.437431,12 rue de Vincennes,93100,Montreuil,1989,www.afci.fr,,https://www.facebook.com/afcinewsoft,,http://www.linkedin.com/company/2731633,,École
Autograf,"Autograf est spécialisé dans les arts appliqués et forme de futurs graphistes, infographistes, animateurs 3D, webdesigners, etc.",#designer,#graphiste,#web,48.858559,2.40631,35 rue Saint Blaise,75020,Paris,1983,www.autograf.fr,Autograf1,https://www.facebook.com/pages/Autograf/178427048918816,,http://www.linkedin.com/company/2824653,,École
Cifap,"Cifap est un organisme de formation professionnelle continue spécialisé en audiovisuel, médias, et web.",#web,#audiovisuel,#medias,48.85191,2.42149,27 rue du progrès,93100,Montreuil,1999,www.cifap.com,Cifap,https://www.facebook.com/CifapFormation,https://plus.google.com/+cifap,http://www.linkedin.com/company/657542,,École
Doranco Espace Multimédia,Doranco Espace Multimedia est organisme de formation en informatique et multimédia et école supérieure des technologies créatives.,#multimedia,#informatique,,48.852482,2.39901,10 rue Planchat,75020,Paris,1992,www.doranco.fr,CentreDoranco,https://www.facebook.com/pages/Centre-Doranco-Espace-Multim%C3%A9dia/186910981344854,,http://www.linkedin.com/company/2057843,,École
E-artsup ,"E-artsup, école supérieure de la création numérique et du multimédia, vise à travers ses différentes filières à former des managers créatifs et passionnés.",#designer,#interactif,#manager,48.815399,2.36309,24 rue Pasteur,94270,Kremlin Bicêtre,2001,www.e-artsup.net,Eartsup,https://www.facebook.com/eartsup,https://plus.google.com/117993560968128170083,http://www.linkedin.com/company/1975399,,École
ECE Paris,ECE Paris est une école d'ingénieurs généraliste et hightech parce que les technologies numériques sont au cœur de la formation des élèves.,#ingenieur,#hightech,,48.852058,2.28582,37 quai de Grenelle,75015,Paris,1919,www.ece.fr,ingenieursECE,https://www.facebook.com/ECE.Paris,,,,École
ECITV,L'École d'Internet et de Télévision (ECITV) a pour vocation de former des managers maîtrisant les aspects techniques d'Internet et de la Télévision.,#internet,#manager,#webmedia,48.846069,2.38571,21 rue Erard,75012,Paris,2012,www.ecitv.fr,,https://www.facebook.com/ECITV,,,,École
École Multimedia,"L'École Multimedia forme aux métiers de l'Internet, de la communication interactive, du design interactif et de l'informatique multimédia.",#multimedia,#designer,#developpeur,48.86343,2.35262,201 rue Saint Martin,75003,Paris,1998,www.ecole-multimedia.com,ecolemultimedia,https://www.facebook.com/lecolemultimedia,https://plus.google.com/112539182774503460113,,,École
ECTEI Paris,ECTEI Paris est une école d'informatique qui propose deux spécialités : Sécurité & Réseaux et Développement Web & Mobilité.,#ingenieur,#informatique,#developpeur,48.854591,2.3255,53 rue de grenelle,75007,Paris,1991,www.ectei.fr,ECTEI,https://www.facebook.com/ITPariseiffel,https://plus.google.com/112133921702655171526,,,École
EEMI,"L'École Européenne des Métiers de l'Internet propose un cursus sur-mesure pour former à ces métiers : web marketeur, développeur, intégrateur, community manager, web designer, chef de projet, etc.",#internet,#metiers,,48.869508,2.341908,28 place de la Bourse,75002,Paris,2011,www.eemi.com,EEMI75,https://www.facebook.com/eemi75,,,,École
EFFICOM Paris,"EFFICOM Paris propose des formations dans ces domaines : Graphisme & Design, Audiovisuel, Informatique, Web.",#informatique,#web,#design,48.816668,2.309655,11 rue Camille Pelletan,92120,Montrouge,1988,www.efficom.fr,EFFICOM,https://www.facebook.com/pages/Efficom-Campus-Paris/291693280871530,https://plus.google.com/106227280162989806178,,,École
EFREI,L'École Française d'Electronique et d'Informatique est une école d'ingénieur en informatique et technologies du numérique.,#informatique,#numerique,#ingenieur,48.788502,2.36387,30 avenue de la République,94800,Villejuif,1957,www.efrei.fr,EFREI_officiel,https://www.facebook.com/pages/EFREI/138311492856959,https://plus.google.com/105312636520781064121,http://www.linkedin.com/company/804961,,École
ENSCI,L'École Nationale Supérieure de Création Industrielle forme aux métiers du design et propose des spécialisations numériques.,#designer,#numerique,#creation,48.858429,2.36911,48 rue Saint Sabin,75011,Paris,1976,www.ensci.com,Ensci_Paris,https://www.facebook.com/pages/ENSCI/65331128640,,http://www.linkedin.com/company/483426,,École
ENSEA,L'École Nationale Supérieure de l'Electronique et de ses Applications est une école d'ingénieurs généraliste en électronique.,#ingénieur,#electronique,,49.038837,2.071416,6 avenue du Ponceau ,95000,Cergy,1941,www.ensea.fr,,https://www.facebook.com/pages/Ensea/111176525574157,https://plus.google.com/117631646307508309984,http://www.linkedin.com/company/338739,,École
ENSG,L'École Nationale des Sciences Géographiques forme à la géomatique les futurs experts de la société de l’information géographique.,#geomatique,#sig,,48.84045,2.58698,6 avenue Blaise Pascal,77420,Champs sur Marne,1908,www.ensg.eu,,,,,,École
ENSIIE,"L'École Nationale Supérieure d'Informatique pour l'Industrie et l'Entreprise délivre une formation organisée autour du triptyque Informatique, Mathématiques et Organisation de l’Entreprise.",#ingenieur,#TIC,,48.62693,2.43274,1 square de la résistance,91000,Evry,1968,www.ensiie.fr,ENSIIE,https://www.facebook.com/pages/Ensiie/336912659666354,,http://www.linkedin.com/company/1250448,,École
EPITA,L'École Pour l'Informatique et les Techniques Avancées est une école d'ingénieurs en informatique.,#ingenieur,#informatique,#developpeur,48.81586,2.362014,14 rue Voltaire,94270,Le Kremlin Bicêtre,1984,www.epita.fr,epita,https://www.facebook.com/epita,,,,École
EPITECH,L'École Pour l'informatique et les nouvelles TECHnologies est une école d'ingénieurs en informatique qui forme des experts en innovation grâce à un modèle d'enseignement par projet.,#ingenieur,#informatique,#developpeur,48.815399,2.36309,24 rue Pasteur,94270,Le Kremlin Bicêtre,1999,www.epitech.eu,epitech,https://www.facebook.com/epitech,,http://www.linkedin.com/company/163660,,École
EPSI,L'École Privée des Sciences Informatiques forme des spécialistes de haut niveau en ingénierie informatique.,#ingenieur,#informatique,,48.891513,2.296137,28 rue d'Alsace,92300,Levallois Perret,1961,www.epsi.fr,,,https://plus.google.com/116901924360046154724,http://www.linkedin.com/company/55016,,École
ESCEN,L'École Supérieure de Commerce et d'Economie Numérique forme les futurs cadres et dirigeants d'entreprises sur le secteur de l'économie numérique.,#economie,#numerique,#manager,48.889191,2.37731,7 rue Duvergier,75019,Paris,2011,www.escen.fr,Escen_official,https://www.facebook.com/ESCEN.school,https://plus.google.com/113973497716871532196,http://www.linkedin.com/company/escen---ecole-sup-rieure-de-commerce-et-d'economie-num-rique,http://fr.viadeo.com/fr/company/escen,École
ESCM,"L'École Supérieure de Création et de Multimédia forme des graphistes, infographistes, directeurs artistiques et chefs de projets multimédia directement opérationnels dès la sortie de l’école.",#graphiste,#multimedia,,48.856899,2.37305,6 rue froment,75011,Paris,2003,www.escm.fr,,,,,,École
ESIEA,"L'École Supérieure d'Informatique Electronique Automatique forme des ingénieurs généralistes des sciences et technologies du numérique, adaptables à leur environnement technique et humain, ainsi qu’aux exigences des différents secteurs d’activité.",#ingenieur,#numerique,,48.814911,2.37831,72 avenue Maurice Thorez,94200,Ivry sur Seine,1958,www.esiea.fr,GroupeESIEA,https://www.facebook.com/esiea,https://plus.google.com/105172779855073708268,http://www.linkedin.com/company/26559,,École
