Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
Académie des Technologies,L’Académie des Technologies a pour vocation d'émettre des propositions et des recommandations auprès des pouvoirs publics et des acteurs socio-économiques pour une meilleure exploitation des technologies au service de l'homme. ,#recherche,#academie,#technologies,48.864944,2.310285,Avenue Franklin D. Roosevelt,75008,Paris,2000,www.academie-technologies.fr,,,https://plus.google.com/109615914757422944025,https://www.facebook.com/pages/Acad%C3%A9mie-des-technologies/122184864647451,,Acteur public
ARCEP,L'Autorité de Régulation des Communications Electroniques et des Postes est une autorité administrative indépendante dotée de pouvoirs spécifiques en matière de régulation des télécommunications.,#aai,#telecoms,,48.840511,2.31775,7 square Max Hymans,75015,Paris,2005,www.arcep.fr,,https://www.facebook.com/pages/Arcep/108139302552232,,http://www.linkedin.com/company/20857,,Acteur public
Cap Digital,Cap Digital est le pôle de compétitivité à vocation mondiale consacré aux technologies de l'information et de la communication et spécialisé dans la filière des contenus et services numériques.,#poledecompetitivite,#contenus&services,#numerique,48.851768,2.37415,74 rue du Faubourg Saint-Antoine,75012,Paris,2006,www.capdigital.com,Cap_Digital,https://www.facebook.com/capdigitalparisregion,https://plus.google.com/107727636172461341994,http://www.linkedin.com/company/142118,,Acteur public
CCNum,Le Conseil National du Numérique est une commission consultative qui a pour mission de formuler et de rendre publics des avis et des recommandations sur toute question relative à l’impact du numérique sur la société et sur l’économie.,#commission,#concertation,,48.83226,2.38726,14 place des Vins de France,75012,Paris,2011,www.cnnumerique.fr,CNNum,https://www.facebook.com/pages/Conseil-National-du-Num%C3%A9rique/151801241552481,,,,Acteur public
Centre Francilien de l'Innovation,"Le Centre Francilien de l’Innovation soutient le développement des entreprises franciliennes en accompagnant la maturation et la mise en œuvre de leurs projets d’innovation à forte valeur ajoutée économique, sociale et environnementale.",#organismeassocie,#conseilregional,#innovation,48.851768,2.37415,74 rue du Faubourg Saint Antoine,75012,Paris,,www.innovation-idf.org,InnovationIdF,,,http://www.linkedin.com/company/1415024,,Acteur public
CNIL,La Commission Nationale de l’Informatique et des Libertés est chargée de veiller à ce que l’informatique soit au service du citoyen et qu’elle ne porte atteinte aux libertés individuelles ou publiques.,#aai,#informatique,#libertes,48.867359,2.33921,8 rue Vivienne,75002,Paris,1978,www.cnil.fr,CNIL,https://www.facebook.com/CNIL,https://plus.google.com/+cnil,http://www.linkedin.com/company/1213297,,Acteur public
DDEI,"La Direction du Développement Economique et de l'Innovation de la Région Ile-de-France est chargée de mettre en œuvre la politique régionale de développement économique et d'innovation, notamment le soutien aux acteurs de l'économie numérique.",#conseilregional,#deveco,#innovation,48.8508,2.32389,142 rue du Bac,75007,Paris,,www.iledefrance.fr,iledefrancefr,https://www.facebook.com/RegionIledeFrance,,,,Acteur public
DUI,"Liée à 2 ministères, la Délégation aux Usages de l'Internet est chargée de diffuser les technologies de l’Internet auprès de l’ensemble des citoyens et d’accompagner les entreprises de l’Internet face aux mutations du réseau.",#delegation,#usages,#internet,48.847229,2.34855,1 rue Descartes,75005,Paris,2007,www.delegation.internet.gouv.fr,netpublic,https://www.facebook.com/NetPublic,https://plus.google.com/101400531434532387710,,,Acteur public
Etalab,Etalab est un service du Premier Ministre en charge de l'ouverture des données publiques et du développement de la plateforme Open Data de l'Etat français.,#opendata,,,48.850651,2.30872,20 avenue de Ségur,75007,Paris,2012,www.etalab.gouv.fr,Etalab,https://www.facebook.com/etalab,,http://www.linkedin.com/company/2572583,,Acteur public
Inria,Inria est un organisme public de recherche dédié aux sciences et technologies du numérique.,#recherche,#innovation,#numerique,48.828360,2.356641,23 avenue d'Italie,75013,Paris,1973,www.inria.fr,Inria,https://www.facebook.com/Inria.fr,https://plus.google.com/113588681551484613564,http://www.linkedin.com/company/164385,,Acteur public
La Fonderie,La Fonderie - agence numérique d'Ile-de-France - est un organisme associé du conseil régional en charge du numérique qui pilote notamment le projet TechOnMap.,#organismeassocie,#conseilregional,#numerique,48.83596,2.39575,39 rue de Wattignies,75012,Paris,2012,www.lafonderie-idf.fr,lafonderie_idf ,https://www.facebook.com/lafonderie.idf,https://plus.google.com/106271588359503534146,http://www.linkedin.com/company/2972733,,Acteur public
"Ministère chargé des PME, de l'Innovation et de l'Economie numérique","Délégué auprès de celui du redressement productif, ce ministère est notamment chargé de la mise en œuvre de la politique nationale d'innovation et de développement de l'économie numérique.",#economie,#numerique,#redressement,48.841091,2.37808,139 rue de Bercy,75012,Paris,2012,,,,,,,Acteur public
Paris Région Lab,Le Laboratoire Paris Région Innovation créé à l'initiative de la Ville de Paris et de la Région Ile-de-France a pour but d'encourager le déploiement de solutions innovantes in vivo in situ sur le territoire francilien.,#lab,#innovation,#invivoinsitu,48.871109,2.393599,24 rue de l'Est,75020,Paris,,www.parisregionlab.com,innovcity,,,,,Acteur public
Systematic,"Le Pôle Systematic a pour finalité de faire de l’Ile-de-France l’un des quelques territoires visibles au niveau mondial sur le thème de la conception, de la réalisation et de la maîtrise des systèmes complexes. ",#poledecompetitivite,#systemescomplexes,,48.713076,2.146325,"Parc Technologique Les Algorithmes
Bâtiment Euripide",91190,Saint Aubin,2005,www.systematic-paris-region.org,Pole_Systematic,,https://plus.google.com/101427002816612370124,http://www.linkedin.com/company/597598,,Acteur public
