Identifiant,Nom,Description,Tag 1,Tag 2,Tag 3,Longitude,Latitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Email,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
1000andone,1000Andone,"1000Andone développe Yesfuture, une application conversationnelle pour organiser des communautés, architecturer les échanges et faciliter les débats en ligne.",,,,2.35278,48.893959,110 rue des Poissonniers,75018,Paris,2010,http://www.yesfuture.net,,yesfuture,,,http://www.linkedin.com/company/1560836,,Entreprise
1001-menus,1001 Menus,1001 Menus propose une plate-forme web et mobile pour centraliser la communication digitale des restaurants.,,,,2.34663,48.86813,23 rue de Clery,75002,Paris,2010,http://www.1001menus.com,,1001menus,,,http://www.linkedin.com/company/1161449,,Entreprise
123-venture,123 Venture,123Venture est une société de gestion indépendante avec plus de 800M€ investis dans le capital-investissement et l'immobilier.,,,,2.28628,48.866089,42 avenue Raymond Poincaré,75016,Paris,2000,http://www.123venture.com,,123Venture,,,http://www.linkedin.com/company/79342,http://fr.viadeo.com/fr/company/123venture,Investisseur
1913,1913,La société 1913 est spécialisée dans les besoins télécom et communications d'entreprise.,,,,2.31361,48.831558,141 rue Raymond Losserand,75014,Paris,2005,http://www.1913.fr,,,,,http://www.linkedin.com/company/530807,,Entreprise
1x1connect,1X1connect,"1x1 connect développe différents outils de marketing d’interaction web pour des sites média, e-commerce ou des marques.",,,,2.35272,48.850102,5 rue Cochin,75005,Paris,2010,http://www.1x1connect.com,,1x1connect,https://www.facebook.com/1x1connect,,http://www.linkedin.com/company/2909903,,Entreprise
292-contents,292 Contents,292 Contents est un producteurs de livres pour le troisième millénaire.,,,,2.35151,48.84922,22 rue de Pontoise,75005,Paris,2010,http://www.civilized.fr,,292Contents,,https://plus.google.com/102260489490743437407,http://www.linkedin.com/company/1467931,,Entreprise
360learning,360Learning,"360Learning est une solution web de e-learning pour créer rapidement des formations, les diffuser et suivre leur impact.",,,,2.38872,48.8396,203 rue de Charenton,75012,Paris,2009,http://www.360learning.com,,360learning,https://www.facebook.com/pages/360Learning-Le-Plaisir-de-Transmettre/148990175168498,,http://www.linkedin.com/company/360learning,,Entreprise
360°-capital-partners,360° Capital Partners,"360° Capital Partners regroupe des investisseurs dynamiques et agiles, profondément passionnés par la création de sociétés durables et offrant aux entrepreneurs un soutien de tous les instants.",,,,2.34584,48.87104,16 boulevard Poissonnière,75009,Paris,,http://www.360capitalpartners.com,,360CP,,,http://www.linkedin.com/company/360-capital-partners,,Investisseur
3w-academy,3W Academy,3W Academy propose une formation courte et intensive pour devenir développeur intégrateur web.,,,,2.29113,48.85313,17 rue Saint Saëns,75015,Paris,2012,http://www.3wa.fr,,3WAcademy,https://www.facebook.com/3WAcademy,https://plus.google.com/101132748386194129526,http://www.linkedin.com/company/3146641,,École
42,42,"42 est une école gratuite, financée par la fondation Free, qui développe une méthodologie d'apprentissage par projet pour former de jeunes talents aux métiers informatiques et à la programmation.",,,,2.3186,48.896229,96 boulevard Bessières,75017,Paris,2013,http://www.42.fr,,42born2code,https://www.facebook.com/ecole42,https://plus.google.com/114371889748884562535,,,École
4n-media-group,4n Media Group,4n Media Group édite une solution mobile d’apprentissage des langues étrangères par l’actualité.,,,,2.40352,48.854858,80 rue des Haies,75020,Paris,2007,http://www.my4ntv.com,,4nmedia,,,http://www.linkedin.com/company/1919286,,Entreprise
50-partners,50 Partners,"Espace de Coworking : location de postes à conditions très flexibles et entrepreneuriales (www.leloft50partners.com) et Incubateur de Startups : mentoring par 50 entrepreneurs stars, bureaux, écosystème, financement (www.50partners.fr)",,,,2.3436700000004294,48.86413999600046,62 rue Jean-Jacques Rousseau,75001,Paris,2012,http://www.50partners.com,jmasurel@investirendirect.com,50partners,https://www.facebook.com/investirendirect,,,,Incubateur
50a,50A,"50A accompagne les grands comptes, les PME et les fédérations dans la conception et la mise en oeuvre de leur stratégie de communication digitale.",,,,2.35025,48.871559,32 rue de l'Echéquier,75010,Paris,,http://www.50a.fr,,agence50A,,,http://www.linkedin.com/company/1108309,,Prestataire
