Identifiant,Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Email,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
/lab,/lab,Studio web de création/développement et de gestion de projet,,,,48.871403829000485,2.4563067380004213,55 rue Saint-Denis 93100 Montreuil,,,2010,http://slash-lab.fr/,jennifer@slash-lab.fr,SlashLabVox,https://www.facebook.com/SlashLabVox,https://plus.google.com/+SlashLabFr/,,,Entreprise
1000andone,1000Andone,"1000Andone développe Yesfuture, une application conversationnelle pour organiser des communautés, architecturer les échanges et faciliter les débats en ligne.",,,,48.893959,2.35278,110 rue des Poissonniers,75018,Paris,2010,http://www.yesfuture.net,,yesfuture,,,http://www.linkedin.com/company/1560836,,Entreprise
1001-menus,1001 Menus,1001 Menus propose une plate-forme web et mobile pour centraliser la communication digitale des restaurants.,,,,48.86813,2.34663,23 rue de Clery,75002,Paris,2010,http://www.1001menus.com,loic.hay@gmail.com,1001menus,,,http://www.linkedin.com/company/1161449,,Entreprise
123-venture,123 Venture,123Venture est une société de gestion indépendante avec plus de 800M€ investis dans le capital-investissement et l'immobilier.,,,,48.866089,2.28628,42 avenue Raymond Poincaré,75016,Paris,2000,http://www.123venture.com,,123Venture,,,http://www.linkedin.com/company/79342,http://fr.viadeo.com/fr/company/123venture,Investisseur
1913,1913,La société 1913 est spécialisée dans les besoins télécom et communications d'entreprise.,,,,48.831558,2.31361,141 rue Raymond Losserand,75014,Paris,2005,http://www.1913.fr,,,,,http://www.linkedin.com/company/530807,,Entreprise
1x1connect,1X1connect,"1x1 connect développe différents outils de marketing d’interaction web pour des sites média, e-commerce ou des marques.",,,,48.850102,2.35272,5 rue Cochin,75005,Paris,2010,http://www.1x1connect.com,,1x1connect,https://www.facebook.com/1x1connect,,http://www.linkedin.com/company/2909903,,Entreprise
292-contents,292 Contents,292 Contents est un producteurs de livres pour le troisième millénaire.,,,,48.84922,2.35151,22 rue de Pontoise,75005,Paris,2010,http://www.civilized.fr,,292Contents,,https://plus.google.com/102260489490743437407,http://www.linkedin.com/company/1467931,,Entreprise
360learning,360Learning,"360Learning est une solution web de e-learning pour créer rapidement des formations, les diffuser et suivre leur impact.",,,,48.8396,2.38872,203 rue de Charenton,75012,Paris,2009,http://www.360learning.com,,360learning,https://www.facebook.com/pages/360Learning-Le-Plaisir-de-Transmettre/148990175168498,,http://www.linkedin.com/company/360learning,,Entreprise
360°-capital-partners,360° Capital Partners,"360° Capital Partners regroupe des investisseurs dynamiques et agiles, profondément passionnés par la création de sociétés durables et offrant aux entrepreneurs un soutien de tous les instants.",,,,48.87104,2.34584,16 boulevard Poissonnière,75009,Paris,,http://www.360capitalpartners.com,,360CP,,,http://www.linkedin.com/company/360-capital-partners,,Investisseur
3w-academy,3W Academy,3W Academy propose une formation courte et intensive pour devenir développeur intégrateur web.,,,,48.85313,2.29113,17 rue Saint Saëns,75015,Paris,2012,http://www.3wa.fr,djamchid@3wa.fr,3WAcademy,https://www.facebook.com/3WAcademy,https://plus.google.com/101132748386194129526,http://www.linkedin.com/company/3146641,,École
42,42,"42 est une école gratuite, financée par la fondation Free, qui développe une méthodologie d'apprentissage par projet pour former de jeunes talents aux métiers informatiques et à la programmation.",,,,48.896229,2.3186,96 boulevard Bessières,75017,Paris,2013,http://www.42.fr,,42born2code,https://www.facebook.com/ecole42,https://plus.google.com/114371889748884562535,,,École
4n-media-group,4n Media Group,4n Media Group édite une solution mobile d’apprentissage des langues étrangères par l’actualité.,,,,48.854858,2.40352,80 rue des Haies,75020,Paris,2007,http://www.my4ntv.com,,4nmedia,,,http://www.linkedin.com/company/1919286,,Entreprise
50-partners,50 Partners,"Espace de Coworking : location de postes à conditions très flexibles et entrepreneuriales (www.leloft50partners.com) et Incubateur de Startups : mentoring par 50 entrepreneurs stars, bureaux, écosystème, financement (www.50partners.fr)",,,,48.86413999600046,2.3436700000004294,62 rue Jean-Jacques Rousseau,75001,Paris,2012,http://www.50partners.com,jmasurel@investirendirect.com,50partners,https://www.facebook.com/investirendirect,,,,Incubateur
50a,50A,"50A accompagne les grands comptes, les PME et les fédérations dans la conception et la mise en oeuvre de leur stratégie de communication digitale.",,,,48.871559,2.35025,32 rue de l'Echéquier,75010,Paris,,http://www.50a.fr,,agence50A,,,http://www.linkedin.com/company/1108309,,Prestataire
5e-rue,5e Rue,"5e Rue est un agenceur digital qui conseille et accompagne les entreprises et les institutions sur les enjeux d'image, de business et d'organisation soulevés par le web social.",,,,48.85672,2.37418,36 rue Sedaine,75011,Paris,2010,http://www.5erue.com,,5erue,http://www.facebook.com/5eRue,https://plus.google.com/106826478280245133986,,,Prestataire
5m-ventures,5M Ventures,"Fonds de ""Media for Equity"", 5M Ventures propose à des sociétés B2C en forte croissance de l'espace publicitaire dans des médias de premier plan en échange d'une ouverture de leur capital.",,,,48.869508,2.341908,28 place de la Bourse,75002,Paris,,http://www.5M-ventures.com,,,,,,,Investisseur
99metrics,99Metrics,"99Metrics aide les startups web à augmenter leurs revenus sur Internet en particulier sur l'acquisition d'audience, la conversion en client puis la rétention.",,,,48.87135,2.33764,13 rue de Marivaux,75009,Paris,2012,http://www.99metrics.fr,,99metrics,,,http://www.linkedin.com/company/3001973,,Prestataire
a-world-for-us,A World For Us,A World For Us est une équipe d'experts en logiciel et en applications web temps réel qui réalise des solutions interactives et sociales.,,,,48.829189,2.35124,17 rue des 5 Diamants,75013,Paris,2009,http://www.aworldforus.com,,aworldforus,,,http://www.linkedin.com/company/246655,,Entreprise
a2ia,A2iA,A2iA propose des logiciels toujours capables de répondre à toutes les problématiques de dématérialisation de documents.,,,,48.87655,2.31591,38 rue de la Bienfaisance,75008,Paris,,http://www.a2ia.com,,A2iA,,,http://www.linkedin.com/company/35653,,Entreprise
abilian,Abilian,"Editeur de logiciels open source qui propose des solutions innovantes pour votre entreprise ou votre organisation, dans les domaines de la collaboration émergente (entreprise 2.0), des processus métiers et de la gestion de l'information.",,,,48.8287300020005,2.3564900020004416,23 avenue d'Italie,75013,Paris,2012,http://www.abilian.com,sf@fermigier.com,abilianhq,https://www.facebook.com/abilian.corp,,http://www.linkedin.com/company/abilian/,,Entreprise
abstrakt,Abstrakt,Abstrakt est une agence digitale qui assure la promotion de marques et produits numériques en ligne.,,,,48.880669,2.36465,213 rue du Faubourg Saint Martin,75010,Paris,1998,http://www.abstrakt.fr,,abstraktnews,https://www.facebook.com/pages/abstrakt/102356576469615,,http://www.linkedin.com/company/688039,,Prestataire
